,auc,prauc,sensitivity,specificity,precision,f1,support,species,tss,fold,subset,postprocessing
490,0.8943660992111889,0.557922808152947,0.8834080717488789,0.7683557394002068,0.977202981148619,0.8602856040138942,446.0,Sesleria.caerulea,0.6517638111490858,1,train,opth
491,0.9397937263105802,0.30717090266400987,0.9259259259259259,0.8317643486182812,0.998541742617572,0.9075546719681908,54.0,Sherardia.arvensis,0.7576902745442071,1,train,opth
492,0.9442925495557075,0.297163164433183,0.8636363636363636,0.8739849624060151,0.9989687177724303,0.932306705165223,22.0,Sideritis.hyssopifolia,0.7376213260423787,1,train,opth
493,0.9453927464236358,0.3267171917497882,0.9146341463414634,0.8364471669218989,0.9974433893352812,0.9098783941362653,82.0,Silaum.silaus,0.7510813132633625,1,train,opth
494,0.9136908166507784,0.38098424491522215,0.94,0.7858277724817286,0.9951710261569416,0.8781960227272727,200.0,Silene.acaulis,0.7258277724817286,1,train,opth
495,0.8787417326692251,0.1474723242029261,0.8378378378378378,0.7867069486404834,0.9977011494252873,0.8797297297297297,37.0,Silene.dioica,0.6245447864783213,1,train,opth
496,0.9644625808438558,0.375367904798971,0.95,0.8860486603018171,0.998265093684941,0.9388154674498287,100.0,Silene.flos.cuculi,0.8360486603018171,1,train,opth
497,0.8408479883603238,0.1868744717687334,0.7368421052631579,0.8356370192307693,0.998205312275664,0.9097154072620216,19.0,Silene.flos.jovis,0.5724791244939271,1,train,opth
498,0.8501541655422646,0.27888755916061975,0.8506224066390041,0.736316806181584,0.9845027981058976,0.8425124332289556,241.0,Silene.nutans,0.5869392128205881,1,train,opth
499,0.9114322130170956,0.2117850330676361,0.9242424242424242,0.7180737580006096,0.9978822532825075,0.8351648351648352,66.0,Silene.otites,0.6423161822430337,1,train,opth
500,0.7955434039644567,0.026210117187402588,0.8636363636363636,0.6276691729323308,0.9985645933014354,0.7708217913204063,22.0,Silene.rupestris,0.49130553656869447,1,train,opth
501,0.8308700547260733,0.43255308965553246,0.6790830945558739,0.8288859239492995,0.9568733153638814,0.8882931188561215,349.0,Silene.vulgaris,0.5079690185051735,1,train,opth
502,0.8472412318220701,0.00969633336598285,0.8571428571428571,0.6341317365269461,0.9995280792826805,0.7759662941930756,7.0,Sinapis.arvensis,0.4912745936698033,1,train,opth
503,0.9032747074291759,0.40913712065504887,0.9540229885057471,0.7346079066753078,0.9947345326897762,0.8451071761416589,261.0,Soldanella.alpina,0.6886308951810549,1,train,opth
