Taxa,LNC,SLA,PLH
Oxytropis.pilosa,24.49593703,,20
Papaver.rhoeas,,33.07,36.75
Paradisea.liliastrum,20.12,19.22,25.1
Parnassia.palustris,13.97666667,26.34,12.66666667
Pastinaca.sativa,,,60
Pedicularis.foliosa,35.48,22.32398598,28.18076923
Pedicularis.gyroflexa,,,
Pedicularis.tuberosa,26.48068587,15.01404979,16.43333333
Pedicularis.verticillata,25.36244035,,15
Petrorhagia.prolifera,,17.63,39
Petrorhagia.saxifraga,17.88666667,,18
Phleum.alpinum,20.7537037,25.40920977,15.18833333
Phleum.hirsutum,30.32333333,27.86392148,33.53846154
Phleum.phleoides,14.7,17.4,30
Phyteuma.betonicifolium,37.16423571,30.02545574,22.33793104
Phyteuma.hemisphaericum,32.04906543,12.00518122,7.47826087
Phyteuma.orbiculare,33.82,23.30058473,19.95
Phyteuma.ovatum,,,38
Phyteuma.spicatum,38.87628198,51.9,24
Picris.hieracioides,23.65832002,24.04583334,48.92592593
Pimpinella.major,22.8,18.77094167,49.02285715
Pimpinella.saxifraga,20.1,16.76799342,26.62166667
Plantago.alpina,19.43575,13.22472144,5.600878788
Plantago.atrata,27.02453603,18.20862272,6.909722222
Plantago.lanceolata,23.75,17.07694979,20.72619048
Plantago.major,29.946938,21.69733334,37
Plantago.media,18.2,18.84629279,11.47210838
Plantago.maritima,21.89021955,13.00581853,12.75561594
Platanthera.bifolia,,26.45,16
Poa.alpina,15.93,17.81586622,7.8875
Poa.annua,,33.03,9
Poa.bulbosa,24.694282,21.09,11
Poa.cenisia,,,23
Poa.chaixii,5.72957923,20.42918831,48.10344828
Poa.compressa,12.90612479,,38
Poa.nemoralis,24.180191,49.9,50
Poa.pratensis,14.08,20.26262067,23.70544608
Poa.supina,,33.6,7
Polygala.alpestris,25.09373029,18.07256085,8.394230769
Polygala.amarella,,20.68333333,5.75
Polygala.comosa,24.77693637,20.29,15
Polygala.vulgaris,24.988864,19.557,5.333333333
Polygonum.aviculare,33.7491403,26.98888889,114
Polygonum.bistorta,29.24605747,20.9870105,43.59150657
Polygonum.viviparum,26.829311,16.33627307,12.99222222
Polystichum.lonchitis,28.86666667,7.8,32.5
Potentilla.argentea,,,22.7
Potentilla.aurea,25.875,19.09085575,8.740123457
Potentilla.crantzii,25.07,15.358,11.07444444
Potentilla.erecta,19.28762929,20.38056152,15.18055556
Potentilla.grandiflora,22.1,12.74475801,13.44333333
Potentilla.neumanniana,22.49666667,17.29116447,5.87
Potentilla.pusilla,,,5
Potentilla.recta,,14.5475,51.25
Potentilla.reptans,28.217715,25.03777778,26.66666667
Potentilla.rupestris,,20.55,39.6
Potentilla.thuringiaca,,,22.5
Primula.elatior,37.31,22.99333333,22.0625
Primula.farinosa,19.19333333,23.31,14.66666667
Primula.veris,32.28,21.18586326,16.11915584
Prunella.grandiflora,12.94111111,22.08767874,13.27011494
Prunella.laciniata,,,12.33333333
Prunella.vulgaris,19.827429,26.93742424,14.61111111
Prunus.spinosa,30.3,15.26930052,147.6
Veronica.spicata,,,23
Pulsatilla.alpina,22.79403829,10.82383706,22.95055319
Pulsatilla.halleri,22.5557065,,10
Pulsatilla.vernalis,31.66324457,10.33974268,6.935323383
Ranunculus.aconitifolius,35.72890351,36.185,35
Ranunculus.acris,23.06036753,24.4552162,42.83969697
Ranunculus.bulbosus,21.16,20.68814815,20.36888889
Ranunculus.glacialis,22.5006632,12.17796933,7.590269712
Ranunculus.gramineus,29.90539551,,30
Ranunculus.kuepferi,35.91733333,16.95641949,9.839215686
Ranunculus.montanus,23.88888889,22.44431085,10.23894231
Ranunculus.serpens,,25.705,40
Ranunculus.repens,21.813056,20.70095238,24.05555555
Reseda.lutea,,,38.5
Rhinanthus.alectorolophus,27.47745391,20.90083031,32.86458333
Rhinanthus.glacialis,28.77158244,14.034,33.33333333
Rhinanthus.minor,38.72564892,23.43324927,26.11459386
Rhododendron.ferrugineum,20.79666667,,70
Rumex.acetosa,27.645578,28.55761905,56.27777778
Rumex.acetosella,30.808952,29.44272727,16.66666667
Rumex.crispus,25.3042,16.88555556,68.72222222
Rumex.obtusifolius,38.691237,30.47833333,57.33333333
Rumex.scutatus,57.88110733,35.98121935,23.54901961
Salix.herbacea,32.385,20.74062212,2.635185185
Salix.reticulata,22.02666667,9.957537939,7
Salix.retusa,26.91812764,14.18473336,6.043209877
Salix.serpyllifolia,22.60181904,9.3,1.25
Salvia.pratensis,27.15088712,24.75733333,39.18666667
Sanguisorba.minor,23.63466603,23.23461572,23.77839568
Sanguisorba.officinalis,28.57,22.65703704,51.20444444
Saponaria.ocymoides,27.62292862,16.5243015,11.98717949
Saxifraga.aizoides,,12.425,10.16666667
Saxifraga.granulata,,,21.33333333
Saxifraga.oppositifolia,23.24333333,14.8,8
Saxifraga.paniculata,7.384386857,6.785,8.5
Saxifraga.tridactylites,,34.44,6.5
Scabiosa.columbaria,11.79934165,18.72266667,34.94444445
Scabiosa.lucida,16.47333333,17.06048321,21.28395062
Scabiosa.triandra,15.40666667,,40
Scorzonera.humilis,,19.26,28
Scorzonera.laciniata,,19.12,28
Scutellaria.alpina,21.69820478,21.03240017,7.539166667
Securigera.varia,47.26263046,19.6581826,45.46
Sedum.acre,16.51614737,6.966666667,5.111111111
Sedum.album,19.72159702,15.12,10.44444444
Sedum.atratum,6.528419654,,5
Sedum.montanum,10.15,,18
Sedum.rupestre,,15.70777778,18
Sedum.sexangulare,20.69666667,13.67,14.66666667
Selaginella.selaginoides,,27.25,6.833333333
Sempervivum.arachnoideum,7.089005274,10.44779107,4.13132017
Sempervivum.montanum,6.048377156,6.450258257,11.03365385
Sempervivum.tectorum,10.88066766,12.23514439,15.52411924
Senecio.doronicum,22.19333333,11.75306217,20.77083333
Senecio.erucifolius,,13.4,84
Senecio.incanus,19.10579175,12.09199382,5.90952381
Senecio.jacobaea,,25.49571429,54.16666667
Serratula.tinctoria,,24.33,54.25
Seseli.annuum,,,50
Sesleria.caerulea,17.16480389,13.84519339,18.48448485
Sherardia.arvensis,,,16.83333333
Sideritis.hyssopifolia,23.77,,25
Silaum.silaus,28.73943329,17.43333333,56.78373016
Silene.acaulis,19.30721839,13.48077959,5.9812
Silene.dioica,,43.43,55.71
Silene.flos.cuculi,15.55,26.047397,51.75
Silene.flos.jovis,23.58669281,,40
Silene.nutans,22.8,24.43510234,28.336
Silene.otites,,13.01,42.88888889
Silene.rupestris,25.99101001,30.36,9.666666667
Silene.vulgaris,25.83724145,27.0409563,30.43137255
Sinapis.arvensis,,72.465,41.66666667
Soldanella.alpina,17.8108875,9.806984456,3.986772487
Solidago.gigantea,14.91225,20.25,119
Solidago.virgaurea,26.31827368,19.95983469,29.89
Stachys.officinalis,27.098301,19.62625,35.66666667
Stachys.pradica,,,35
Stachys.recta,34.37319704,22.98536307,28.07672634
Stellaria.graminea,31.61335092,29.75555556,31
Stipa.capillata,,7.78,59
Stipa.eriocaulis,20.4035902,,45.70666667
Succisa.pratensis,13.732981,16.91111111,40.38888889
Symphytum.officinale,,24.87,55.83333333
Taraxacum.alpinum,21.31,28.40555556,5.222222222
Taraxacum.officinale,21.94678433,24.19890307,23.85728261
Tephroseris.integrifolia,,,40
Teucrium.botrys,,39.6,15.16666667
Teucrium.chamaedrys,18.20133667,15.09292047,8.303482587
Teucrium.montanum,10.74419472,18.36,14
Thalictrum.alpinum,,15.95333333,11.5
Thalictrum.aquilegiifolium,46.57434305,,75
Thalictrum.minus,23.72,17.578106,36.875
Thalictrum.simplex,23.61333333,,55
Thesium.alpinum,23.56742998,12.89031869,10.50320513
Thesium.linophyllon,,17.67,19
Thesium.pyrenaicum,19.4219021,27.36222222,17.22435897
Tofieldia.calyculata,13.51662623,17.07,16.12745098
Tragopogon.dubius,28.77846877,25.3,51.5
Tragopogon.pratensis,23.10333333,25.35542157,49.83785714
Traunsteinera.globosa,,,35.33333333
Trifolium.alpestre,25.1,15.07824243,21.89899425
Trifolium.alpinum,29.42,19.2250127,8.710721868
Trifolium.arvense,25.61884366,19.56733333,17.6031746
Trifolium.aureum,,37.945,28.66666667
Trifolium.badium,28.67915895,21.62884739,13
Trifolium.campestre,35.974762,27.08333333,24.83333333
Trifolium.dubium,31.179928,27.77037037,20
Trifolium.medium,34.4,19.73333333,38
Trifolium.montanum,30.41333333,18.46172501,22.31199294
Trifolium.ochroleucon,38.52666667,,30
Trifolium.pratense,34.91029609,25.2222713,24.67888058
Trifolium.repens,38.6704228,30.13088722,13.38884848
Trifolium.rubens,27.19439507,16.64,44
Trifolium.scabrum,,,10.66666667
Trifolium.striatum,,21.33,14.5
Trifolium.thalii,33.44333333,14.81505874,2.763888889
Trinia.glauca,,13.68,12.77777778
Trisetum.distichophyllum,23.27074567,18.35242323,9.285843335
Trisetum.flavescens,19.50333333,25.82103453,32.57704191
Trollius.europaeus,29.56833333,22.36124796,30.3125
Turritis.glabra,24.07998207,,55
Tussilago.farfara,41.84496482,17.36296644,12.96969697
Urtica.dioica,49.83718809,36.40311077,47.08361204
Valeriana.dioica,29.29850399,30.3,28.3015873
Valeriana.montana,22.94755598,19.2668866,26.46153846
Valeriana.officinalis,22.34203167,36.272,75.33333333
Valerianella.dentata,,30.28,21.5
Valerianella.locusta,,,16.83333333
Veratrum.album,18.55666667,30.361672,108.62
Verbascum.lychnitis,,14.7,88.33333333
Verbascum.nigrum,,,78.41666667
Verbascum.thapsus,,33.9,80.27777778
Verbena.officinalis,,14.26,38.5
Veronica.aphylla,14.96768872,,4
Veronica.arvensis,25.44,25.8425,12.88888889
Veronica.bellidioides,4.137787819,8.2,22.125
Veronica.chamaedrys,22.1,30.30325926,21.97222222
Veronica.fruticans,18.76480897,14.84770254,8.917593529
Veronica.fruticulosa,23.20516189,,16.5
Veronica.officinalis,18.58841508,26.57433333,12.55172414
Veronica.persica,20.875,39.6,21.16666667
Veronica.serpyllifolia,16.74324842,22.39,12.83333333
Vicia.cracca,41.85528318,25.34780145,52.51893939
Vicia.hirsuta,43.2098,22.05714286,30.94444445
Vicia.onobrychioides,53.80616426,25.68029446,26.3375
Vicia.sativa,47.2758798,22.85,36.00480769
Vicia.sepium,50.61,35.84136521,43.22666667
Vicia.tetrasperma,,26.19,34.33333333
Vincetoxicum.hirundinaria,41.21333333,37.11266667,71.11111111
Viola.arvensis,15.68787098,,18.41666667
Viola.biflora,42.74,53.235,11.5
Viola.calcarata,21.14249289,19.0025047,4.537251984
Viola.hirta,19.1,18.23333333,10.33333333
Viola.rupestris,28.02333333,,8
Vulpia.myuros,,,25
Athamanta.cretensis,28.8650775,7.57821056,11.24038462
Bupleurum.baldense,25.94333333,,4
Imperatoria.ostruthium,29.87586935,21.00064437,61.60606061
