"","SR"
"CBNA_390686",26.1932994701414
"CBNA_390691",36.2178606919078
"CBNA_390700",23.9377735411112
"CBNA_390704",20.2963684543172
"CBNA_390706",46.3982086654086
"CBNA_390710",27.5836188850993
"CBNA_390712",33.8652351689116
"CBNA_390713",25.5265979697851
"CBNA_390714",7.40002152862694
"CBNA_390717",15.1222577010742
"CBNA_390724",20.3928704973925
"CBNA_390743",19.560392704726
"CBNA_390816",12.1500506167688
"CBNA_391147",39.7611650552373
"CBNA_391152",5.28366206017114
"CBNA_391153",24.4360682396256
"CBNA_391155",17.3240891043349
"CBNA_391157",28.5310755532883
"CBNA_391158",13.8847338465764
"CBNA_391159",17.4459126313749
"CBNA_391169",17.77440577073
"CBNA_391171",35.8854499404737
"CBNA_391172",15.4743018858057
"CBNA_391173",22.7708542360305
"CBNA_391177",21.2888469880626
"CBNA_391181",13.1458293024223
"CBNA_391182",13.5880920439458
"CBNA_391183",11.9736258332079
"CBNA_391184",11.2069438384967
"CBNA_391185",16.2403033395097
"CBNA_391188",5.56167968770139
"CBNA_391189",7.53703456145995
"CBNA_391190",26.6923892175639
"CBNA_391193",33.0951627515974
"CBNA_391195",41.8997410298254
"CBNA_391196",27.122986556779
"CBNA_391198",25.2868643481027
"CBNA_391214",30.4573131674271
"CBNA_391222",43.5516385085026
"CBNA_391225",17.316630856568
"CBNA_391238",5.77965061127974
"CBNA_391241",25.121980385333
"CBNA_391316",21.7903500579391
"CBNA_391353",28.9558494392639
"CBNA_391615",24.7395956421022
"CBNA_391618",41.3031170156413
"CBNA_391620",35.6585364215554
"CBNA_391621",42.8320420343282
"CBNA_391623",44.6845263466658
"CBNA_391624",24.4947995956418
"CBNA_391636",39.8014916882558
"CBNA_391646",35.8131749544607
"CBNA_391647",27.412804271582
"CBNA_391650",35.9688288248283
"CBNA_391652",43.1052212889079
"CBNA_391655",49.5283145495298
"CBNA_391656",48.8634959172754
"CBNA_391657",43.9093736518326
"CBNA_391660",39.1985937186994
"CBNA_391663",32.618777848087
"CBNA_391668",39.3971379252721
"CBNA_391673",51.7314111341731
"CBNA_391675",31.5071303527751
"CBNA_391683",35.1402922009577
"CBNA_391684",58.0974349078578
"CBNA_391686",29.4934506508891
"CBNA_391687",39.5157878377959
"CBNA_391688",26.063634762108
"CBNA_391693",53.0702991511245
"CBNA_391701",52.3141608341898
"CBNA_391703",37.5858720324739
"CBNA_391900",13.6267107353387
"CBNA_392280",4.31844839768289
"CBNA_392384",21.5316060074913
"CBNA_406876",28.8798317196053
"CBNA_406878",34.7470303258475
"CBNA_407291",18.006608057027
"CBNA_408165",17.5216923062544
"CBNA_408214",27.4665716617927
"CBNA_408217",19.189098235581
"CBNA_408220",18.0489912540423
"CBNA_408221",11.7309610966235
"CBNA_408269",22.599778541345
"CBNA_408277",31.2122729480687
"CBNA_408287",29.1475049449941
"CBNA_408291",14.6641169179352
"CBNA_408293",23.5912301575319
"CBNA_408297",26.2931047923329
"CBNA_408309",22.1480466104981
"CBNA_408347",23.7048363605329
"CBNA_408361",23.5326330102614
"CBNA_408366",15.1296108116075
"CBNA_408753",40.1701466448386
"CBNA_408754",43.9316218394799
"CBNA_408758",10.2413764964518
"CBNA_408775",42.428023042101
"CBNA_408778",35.1483810316972
"CBNA_408779",14.5916822959122
"CBNA_408786",42.0475608067626
"CBNA_408787",33.01919709092
"CBNA_408809",43.5936410406706
"CBNA_408810",18.3867278167057
"CBNA_408811",32.4985329662226
"CBNA_408813",40.7916932573982
"CBNA_408818",40.1155599088851
"CBNA_408828",30.8783462866219
"CBNA_409047",20.2425815421313
"CBNA_409582",36.0002900297043
"CBNA_409619",20.1777418160353
"CBNA_409676",49.3300816090062
"CBNA_409681",16.083433159937
"CBNA_409699",17.8339712724914
"CBNA_409701",15.6192073110392
"CBNA_409781",32.0885366151488
"CBNA_409843",12.5731680179482
"CBNA_409874",34.1788999600875
"CBNA_409878",40.4535024665966
"CBNA_409925",39.2693193466898
"CBNA_409944",32.6712259785464
"CBNA_409955",28.2907459128775
"CBNA_409976",24.351391313272
"CBNA_409983",22.1109501244378
"CBNA_410004",25.5721989309918
"CBNA_410080",28.283109398941
"CBNA_410092",12.7911878550049
"CBNA_410104",24.2201679806341
"CBNA_410122",21.6545566025913
"CBNA_410125",21.9559982767947
"CBNA_410170",28.5922677099548
"CBNA_410173",23.3154429757034
"CBNA_410177",22.5469538403426
"CBNA_410180",22.6185165776218
"CBNA_410182",3.85878971515674
"CBNA_410183",22.896364774663
"CBNA_410184",16.7704187416408
"CBNA_410197",24.4238610825191
"CBNA_410222",25.0383849862906
"CBNA_410227",6.38123200215337
"CBNA_410251",26.3379794973608
"CBNA_410257",30.5671988956372
"CBNA_410258",28.0659503545845
"CBNA_410260",26.2666796557546
"CBNA_410261",15.8619161937127
"CBNA_410492",33.6388188422116
"CBNA_410497",27.1043986484583
"CBNA_410616",12.5557790195359
"CBNA_410663",18.4358786545994
"CBNA_410675",12.9164386217353
"CBNA_410707",30.4661034073686
"CBNA_410712",22.1775298531122
"CBNA_410714",19.6037167463822
"CBNA_410718",25.4174107689084
"CBNA_410720",27.1449492108083
"CBNA_410721",22.2040146198572
"CBNA_410722",21.6092232814572
"CBNA_410723",22.480481788766
"CBNA_410726",23.9472016669975
"CBNA_410728",31.2535574827557
"CBNA_410734",18.2714320676741
"CBNA_410738",22.3828232047999
"CBNA_410741",33.5371897761346
"CBNA_410742",20.1251147989267
"CBNA_410743",22.707971242875
"CBNA_410745",38.0924014128081
"CBNA_410748",16.094542435571
"CBNA_410750",40.1634055877996
"CBNA_410751",24.456912489512
"CBNA_410752",28.5627512793125
"CBNA_410754",28.7270113641781
"CBNA_410757",38.6172836060485
"CBNA_410759",12.4796674183351
"CBNA_410760",29.7786725703288
"CBNA_410761",22.2120995610591
"CBNA_410762",11.4933028658646
"CBNA_410765",22.6799993214725
"CBNA_410766",31.5541788554246
"CBNA_410768",27.5119839902947
"CBNA_410769",16.6207222057474
"CBNA_410778",3.44906023840553
"CBNA_410783",5.04197124083277
"CBNA_410784",6.50921126538443
"CBNA_410785",9.68276053720316
"CBNA_410787",26.8611506996082
"CBNA_410790",10.4536118615673
"CBNA_410792",10.7775177433609
"CBNA_410798",10.8457833740169
"CBNA_410801",25.4660193986096
"CBNA_410803",14.9691635883793
"CBNA_410808",16.9970097717061
"CBNA_410810",25.2591010282478
"CBNA_410815",14.2447441618359
"CBNA_413839",25.7599461656118
"CBNA_413841",48.2824709741254
"CBNA_413842",30.5684085518994
"CBNA_413844",22.4066576455302
"CBNA_413848",31.6324983977855
"CBNA_413869",25.3639270385794
"CBNA_415581",23.3198537933845
"CBNA_416335",4.24418132680469
"CBNA_416336",6.23265555120646
"CBNA_417036",22.0369574989022
"CBNA_422603",5.30746309759643
"CBNA_424928",24.7716485301952
"CBNA_424929",13.9188555026131
"CBNA_427968",21.0253452341108
"CBNA_427986",25.5245289450153
"CBNA_427997",14.5520148782621
"CBNA_428002",22.4163737782136
"CBNA_428003",10.8645118239524
"CBNA_428006",17.8968107252957
"CBNA_428007",8.13872999915473
"CBNA_428009",8.79465020491617
"CBNA_428011",3.3451234448005
"CBNA_428013",9.50065466372764
"CBNA_428014",21.6415531880747
"CBNA_428015",17.4376602044196
"CBNA_428016",19.4586376517303
"CBNA_428018",18.1688614243749
"CBNA_428019",25.0356926633748
"CBNA_428020",11.6101188457946
"CBNA_428022",25.0412663622196
"CBNA_428023",11.9194173968259
"CBNA_428025",17.4591845415711
"CBNA_428027",11.3351968739192
"CBNA_428032",28.4382931894559
"CBNA_428034",13.6423530673552
"CBNA_428037",41.4522507871389
"CBNA_428038",22.7243197068937
"CBNA_428051",24.388911918591
"CBNA_428068",25.9153754191355
"CBNA_428074",25.0304636785063
"CBNA_428076",13.6332448902592
"CBNA_428080",8.53562500106696
"CBNA_428116",21.4815563515232
"CBNA_428117",17.3611856572458
"CBNA_428119",9.2730649807469
"CBNA_428124",30.7612868219516
"CBNA_428142",8.20486093241374
"CBNA_428146",16.6487541962011
"CBNA_428163",19.9981132720259
"CBNA_428208",9.5790259975846
"CBNA_428320",31.1888851125132
"CBNA_428325",29.9867403868792
"CBNA_428326",14.8654353738453
"CBNA_428327",32.1221642809593
"CBNA_428803",25.0220987441469
"CBNA_428807",23.9697816952747
"CBNA_429044",28.1275024005023
"CBNA_429490",39.1322283403364
"CBNA_430575",13.0650234429851
"CBNA_430677",14.0644592284828
"CBNA_433883",44.427536987227
"CBNA_433884",26.8269450643124
"CBNA_433886",24.0443500146117
"CBNA_433887",31.3697645886573
"CBNA_438588",16.8905263171011
"CBNA_445668",40.4108194080141
"CBNA_446286",12.1955440460986
"CBNA_446288",26.4656686790269
"CBNA_446289",32.6743285953014
"CBNA_446298",12.9163630761759
"CBNA_446303",20.4800625815546
"CBNA_446306",29.427518249611
"CBNA_446339",33.9289089382648
"CBNA_446346",32.2532074214005
"CBNA_449753",20.3579389627798
"CBNA_450263",28.503959504903
"CBNA_450266",26.2464281860151
"CBNA_450268",14.9700470600607
"CBNA_450270",14.3899091806977
"CBNA_450271",27.7085826119964
"CBNA_450277",25.4681105559367
"CBNA_450280",35.014633089041
"CBNA_450281",9.34470430448938
"CBNA_450284",13.902316988985
"CBNA_450286",11.9078891186811
"CBNA_450290",2.42028657824797
"CBNA_450291",15.5551011596304
"CBNA_450295",12.2623499016499
"CBNA_450297",16.4252446580189
"CBNA_450298",7.89354457925818
"CBNA_450305",16.0163902304709
"CBNA_450326",23.3498944643036
"CBNA_450332",14.5347171693858
"CBNA_450333",7.13337792035857
"CBNA_450340",30.476504829409
"CBNA_450342",40.5317841060793
"CBNA_450343",19.6810220294527
"CBNA_450345",23.7776463150472
"CBNA_450346",9.78124649919374
"CBNA_450347",8.27033165375793
"CBNA_450349",17.2504726033351
"CBNA_450363",16.1818781884731
"CBNA_452078",60.1776914451623
"CBNA_452086",43.2504500208039
"CBNA_452836",20.1101171055361
"CBNA_452841",29.2910193206706
"CBNA_452842",12.0559358703174
"CBNA_452844",25.1011901581533
"CBNA_452846",24.8075035440324
"CBNA_452855",26.0775302830044
"CBNA_452858",28.3333159021625
"CBNA_452861",17.0831323541142
"CBNA_452863",18.8281330084249
"CBNA_452874",25.7499829077913
"CBNA_452876",14.8624009472541
"CBNA_452880",19.3578303375425
"CBNA_452890",16.0486055393969
"CBNA_452891",12.5151529750565
"CBNA_452897",28.7121587523496
"CBNA_452907",27.9504037951486
"CBNA_452911",36.7712752130913
"CBNA_452913",30.6970424345751
"CBNA_452919",25.4879555095376
"CBNA_452926",20.0761500691118
"CBNA_452927",17.992282891186
"CBNA_452928",16.0362244969001
"CBNA_452929",35.6603139964445
"CBNA_452937",30.8952060097837
"CBNA_452938",23.2442555967963
"CBNA_452940",24.4164569986632
"CBNA_452945",11.7138688655571
"CBNA_452947",26.8278950194566
"CBNA_452949",34.8941324883606
"CBNA_452954",30.7702109878989
"CBNA_452955",33.9746976888007
"CBNA_452958",23.75203256283
"CBNA_452963",12.2553977775199
"CBNA_452964",18.0630263232787
"CBNA_452970",34.939168357627
"CBNA_452979",37.0578891637604
"CBNA_452980",26.8987166187637
"CBNA_452984",16.0705273936399
"CBNA_452986",28.6737318511308
"CBNA_452988",22.700560052814
"CBNA_452990",21.2772961270887
"CBNA_452991",26.3588942019723
"CBNA_452992",26.344104366227
"CBNA_452994",25.9782516369513
"CBNA_452999",19.0464915540336
"CBNA_453000",25.8892337564303
"CBNA_453001",23.9382290448503
"CBNA_453002",30.7263621331154
"CBNA_453006",19.7182530438526
"CBNA_453007",17.883015396334
"CBNA_453009",29.4985565901211
"CBNA_453010",27.2212709491892
"CBNA_453012",22.9383152586413
"CBNA_453017",34.0347911307817
"CBNA_453018",23.7976395817851
"CBNA_453020",33.0970734082396
"CBNA_453021",23.8031841088834
"CBNA_453024",41.7972670494873
"CBNA_453038",28.1701965065889
"CBNA_453044",29.4440715035797
"CBNA_473858",32.7057916591224
"CBNA_473918",33.0295330783514
"CBNA_473966",49.0283764552396
"CBNA_474009",26.5975868650686
"CBNA_474013",23.0581042428519
"CBNA_474029",27.4051101245055
"CBNA_474081",47.3747536101234
"CBNA_474084",35.08509662831
"CBNA_474106",26.8730198357246
"CBNA_474109",30.008820437933
"CBNA_474127",45.8379707365886
"CBNA_474136",13.3879036606423
"CBNA_474140",32.2972986157365
"CBNA_474259",42.1500752037472
"CBNA_474644",19.9082431216496
"CBNA_474664",23.9416639411196
"CBNA_474665",14.0220125971402
"CBNA_474770",14.5069935668311
"CBNA_474810",22.3355630438314
"CBNA_474813",41.1156812962609
"CBNA_474853",31.0510546600474
"CBNA_474855",48.1311078316773
"CBNA_474868",39.717092869754
"CBNA_493640",22.9260598985748
"CBNA_493642",15.5669420425241
"CBNA_493650",11.6152225796802
"CBNA_493698",27.8865632240509
"CBNA_493699",17.3342733314301
"CBNA_494495",30.7460904925774
"CBNA_494497",39.4908795035259
"CBNA_494500",35.3801959857435
"CBNA_494504",26.6757382671837
"CBNA_494505",33.0031759236833
"CBNA_494520",41.0705549889
"CBNA_494522",33.5170062551861
"CBNA_494531",17.2236691593347
"CBNA_494535",28.0921630336271
"CBNA_494537",22.7243691927758
"CBNA_494538",17.1779285823746
"CBNA_494542",31.6195292195552
"CBNA_494545",27.1805704860105
"CBNA_494546",32.769987519945
"CBNA_494549",24.0003119911271
"CBNA_494559",4.12673879133926
