"","LNC","SLA","PLH"
"CBNA_410184",22.62742896,17.15517797,9.827418643
"CBNA_410197",24.91845655,21.17404427,21.29033625
"CBNA_410222",24.06098032,20.17158342,24.30644265
"CBNA_410227",23.08350223,19.02413961,20.70704165
"CBNA_410251",23.4575816,19.50474212,21.20222327
"CBNA_410257",24.01503915,19.77104107,22.48232224
"CBNA_410258",22.87709407,17.93550646,18.81573413
"CBNA_410260",23.21709643,18.19197642,18.98434871
"CBNA_410261",23.26322775,18.47944364,18.54175528
"CBNA_410492",23.72453178,16.85907997,11.68627639
"CBNA_410497",23.68563454,21.66436349,30.1521175
"CBNA_410616",22.07903084,15.92609047,9.639792386
"CBNA_410663",22.11744362,17.16688327,8.481672172
"CBNA_410675",23.09881694,17.76549374,13.85696978
"CBNA_410707",24.26947727,18.6829142,14.35172871
"CBNA_410712",24.11330798,17.33166022,10.51896637
"CBNA_410714",23.86804482,16.4892957,9.59643796
"CBNA_410718",22.92491611,16.64645748,7.965944806
"CBNA_410720",23.49893403,16.94253497,7.943662517
"CBNA_410721",23.83984413,17.73665321,7.917730863
"CBNA_410722",23.12910696,17.39671592,7.7979697
"CBNA_410723",22.87163822,17.16833225,7.545064181
"CBNA_410726",23.1345087,17.11254069,7.855423535
