"","SR"
"CBNA_410721",23.48984683
"CBNA_410722",23.37748254
"CBNA_410723",25.24401746
"CBNA_410726",24.46606111
"CBNA_410728",26.83867222
"CBNA_410734",31.5412754
"CBNA_410738",19.55745772
"CBNA_410741",30.17804127
"CBNA_410742",21.02822937
"CBNA_410743",29.59954683
"CBNA_410745",35.39390317
"CBNA_410748",28.13362063
"CBNA_410750",26.85523413
"CBNA_410751",25.54596667
"CBNA_410752",28.80960635
"CBNA_410754",25.92039762
"CBNA_410757",26.83696508
"CBNA_410759",22.19156984
"CBNA_410760",27.8585
"CBNA_410761",23.05790079
"CBNA_410762",26.97334127
"CBNA_410765",28.09799762
"CBNA_410766",24.76812063
"CBNA_410768",23.5032746
"CBNA_410769",25.18513413
"CBNA_410778",21.9866754
"CBNA_410783",16.00960058
"CBNA_410784",15.76591507
"CBNA_410785",15.11524365
"CBNA_410787",18.19867143
"CBNA_410790",15.86521667
"CBNA_410792",17.81071724
"CBNA_410798",18.12696547
"CBNA_410801",18.14047302
"CBNA_410803",17.00204603
"CBNA_410808",26.29650317
"CBNA_410810",24.51215873
"CBNA_410815",25.29462302
"CBNA_413839",23.78064286
"CBNA_413841",24.6220619
"CBNA_413842",27.66115
"CBNA_413844",21.34858175
"CBNA_413848",20.09223175
"CBNA_413869",25.47590317
"CBNA_415581",23.90280317
"CBNA_416335",23.57375238
"CBNA_416336",23.27647381
"CBNA_417036",31.60524524
"CBNA_422603",22.95667937
"CBNA_424928",24.49025635
"CBNA_424929",24.44844603
"CBNA_427968",22.34838651
"CBNA_427986",20.7927254
"CBNA_427997",24.79834841
"CBNA_428002",24.95120714
"CBNA_428003",24.99653968
"CBNA_428006",22.64907698
"CBNA_428007",26.80347778
"CBNA_428009",23.59550159
"CBNA_428011",22.19796587
"CBNA_428013",22.6904627
"CBNA_428014",23.08155317
"CBNA_428015",22.1857619
"CBNA_428016",26.8062746
"CBNA_428018",19.2948246
"CBNA_428019",28.57394444
"CBNA_428020",28.57394444
"CBNA_428022",23.12866508
"CBNA_428023",26.61236667
"CBNA_428025",24.31342381
"CBNA_428027",21.38062143
"CBNA_428032",26.46199921
"CBNA_428034",22.44380159
"CBNA_428037",24.96234365
"CBNA_428038",22.47782857
"CBNA_428051",25.79832698
"CBNA_428068",25.4231746
"CBNA_428074",27.54920714
"CBNA_428076",26.66310397
"CBNA_428080",23.5707619
"CBNA_428116",22.58685238
"CBNA_428117",24.70231667
"CBNA_428119",24.70028095
"CBNA_428124",27.70461111
"CBNA_428142",25.21813651
"CBNA_428146",23.7081381
"CBNA_428163",24.27666984
"CBNA_428208",21.65043254
"CBNA_428320",26.70715635
"CBNA_428325",20.47338095
"CBNA_428326",20.23009524
"CBNA_428327",19.92290397
"CBNA_428803",26.93191429
"CBNA_428807",26.40329921
"CBNA_429044",27.8426746
"CBNA_429490",27.31505952
"CBNA_430575",20.43785556
"CBNA_430677",18.95442778
"CBNA_433883",29.76984286
"CBNA_433884",31.21714841
"CBNA_433886",28.44513413
"CBNA_433887",26.56388889
"CBNA_438588",28.14526111
"CBNA_445668",29.78806032
"CBNA_446286",26.34786746
"CBNA_446288",27.56640714
"CBNA_446289",24.76356984
"CBNA_446298",27.41138254
"CBNA_446303",26.52491349
"CBNA_446306",27.85592698
"CBNA_446339",27.07809603
"CBNA_446346",26.02547698
"CBNA_449753",23.27222063
"CBNA_450263",23.65453095
"CBNA_450266",22.16894206
"CBNA_450268",24.35360159
"CBNA_450270",27.66999841
"CBNA_450271",24.57079048
"CBNA_450277",26.06782143
"CBNA_450280",25.0935119
"CBNA_450281",23.55055476
"CBNA_450284",27.00514841
"CBNA_450286",27.1647127
"CBNA_450290",22.58910397
"CBNA_450291",24.18676587
"CBNA_450295",19.05050635
"CBNA_450297",24.95639365
"CBNA_450298",23.2280381
"CBNA_450305",25.82798413
"CBNA_450326",27.82346429
"CBNA_450332",26.67917857
"CBNA_450333",24.57651746
"CBNA_450340",26.54369841
"CBNA_450342",24.80301746
"CBNA_450343",25.83718651
"CBNA_450345",26.69292937
"CBNA_450346",27.19177619
"CBNA_450347",24.71463333
"CBNA_450349",23.53130556
"CBNA_450363",30.86175317
"CBNA_452078",24.66721429
"CBNA_452086",35.62739127
"CBNA_452836",25.55049524
"CBNA_452841",26.0090254
"CBNA_452842",30.30413571
"CBNA_452844",27.80525952
"CBNA_452846",28.68631349
"CBNA_452855",25.06694286
"CBNA_452858",25.80695952
"CBNA_452861",27.48513651
"CBNA_452863",27.01112778
"CBNA_452874",25.03492698
"CBNA_452876",26.53478254
"CBNA_452880",27.05272778
"CBNA_452890",24.9930754
"CBNA_452891",25.50008413
"CBNA_452897",28.6561754
"CBNA_452907",25.54307937
"CBNA_452911",28.00331111
"CBNA_452913",25.92151587
"CBNA_452919",24.04558413
"CBNA_452926",25.05133571
"CBNA_452927",24.0657873
"CBNA_452928",27.52550714
"CBNA_452929",24.67942222
"CBNA_452937",27.77547222
"CBNA_452938",26.01687619
"CBNA_452940",29.71628492
"CBNA_452945",28.2111381
"CBNA_452947",27.69502937
"CBNA_452949",24.35322063
"CBNA_452954",27.73439921
"CBNA_452955",28.34726032
"CBNA_452958",29.00998651
"CBNA_452963",26.3389627
"CBNA_452964",26.07582619
"CBNA_452970",30.7735254
"CBNA_452979",28.26590873
"CBNA_452980",28.87082063
"CBNA_452984",27.95640714
"CBNA_452986",28.08518492
"CBNA_452988",28.10735159
"CBNA_452990",30.00743254
"CBNA_452991",25.71757619
"CBNA_452992",30.65642778
"CBNA_452994",29.98255556
"CBNA_452999",25.14227063
"CBNA_453000",25.29332143
"CBNA_453001",25.90064762
"CBNA_453002",24.64088175
"CBNA_453006",25.86522698
"CBNA_453007",24.9763119
"CBNA_453009",29.02463968
"CBNA_453010",25.49696746
"CBNA_453012",27.5950881
"CBNA_453017",27.20847222
"CBNA_453018",26.1679746
"CBNA_453020",30.35695476
"CBNA_453021",25.95783571
"CBNA_453024",24.42439444
"CBNA_453038",24.40910397
"CBNA_453044",27.79568571
"CBNA_473858",30.64038413
"CBNA_473918",31.42579127
"CBNA_473966",32.17298492
"CBNA_474009",29.41433651
"CBNA_474013",31.51730159
"CBNA_474029",29.49223333
"CBNA_474081",31.23669524
"CBNA_474084",30.33667778
"CBNA_474106",28.70321032
"CBNA_474109",29.3875127
"CBNA_474127",30.00650238
"CBNA_474136",29.1343619
"CBNA_474140",27.89285873
"CBNA_474259",32.38468651
"CBNA_474644",31.46653889
"CBNA_474664",26.69062063
"CBNA_474665",26.94413333
"CBNA_474770",30.50949603
"CBNA_474810",30.67379524
"CBNA_474813",27.67576111
"CBNA_474853",30.09190556
"CBNA_474855",31.19912698
"CBNA_474868",31.47379127
"CBNA_493640",20.46437063
"CBNA_493642",20.43303333
"CBNA_493650",20.75828571
"CBNA_493698",27.7648754
"CBNA_493699",27.86884286
"CBNA_494495",32.82942778
"CBNA_494497",30.35958889
"CBNA_494500",24.25818571
"CBNA_494504",28.39530238
"CBNA_494505",24.37503333
"CBNA_494520",30.30872222
"CBNA_494522",33.69295317
"CBNA_494531",31.02851587
"CBNA_494535",28.2105119
"CBNA_494537",24.1314627
"CBNA_494538",25.7078619
"CBNA_494542",22.5103619
"CBNA_494545",26.68030873
"CBNA_494546",21.72580238
"CBNA_494549",22.44316905
"CBNA_494559",20.84860317
"CBNA_495999",29.94655079
"CBNA_496003",26.98605952
"CBNA_496006",26.94742222
"CBNA_496064",28.36229603
"CBNA_496068",28.08235714
"CBNA_496102",27.65349206
"CBNA_496134",27.16124286
"CBNA_496141",32.2138
"CBNA_496157",32.26218492
"CBNA_496161",32.4128381
"CBNA_496225",24.2438381
"CBNA_496226",28.76480714
"CBNA_496230",26.43069841
"CBNA_496249",30.07692143
"CBNA_496264",37.83031984
"CBNA_496270",34.59620556
"CBNA_496271",34.2078246
"CBNA_496272",33.91720794
"CBNA_496274",33.63489524
"CBNA_496275",32.41277302
"CBNA_496279",33.69264286
"CBNA_496280",30.06312857
"CBNA_496283",32.83429048
"CBNA_496288",30.74895952
"CBNA_496292",31.21303175
"CBNA_496295",37.20804524
"CBNA_496296",33.9304119
"CBNA_497187",26.24903016
"CBNA_497248",31.89010952
"CBNA_497267",24.5253754
"CBNA_497999",26.70040714
"CBNA_498006",25.98707381
"CBNA_498186",21.33027619
"CBNA_498187",21.09288492
"CBNA_498193",24.43929127
"CBNA_498485",25.35756508
"CBNA_498504",24.87517778
"CBNA_499590",26.43549286
"CBNA_499743",23.88094603
"CBNA_500103",25.63103889
"CBNA_500109",37.62773095
"CBNA_500110",23.31946032
"CBNA_500111",23.70403016
"CBNA_533860",22.1342373
"CBNA_533861",24.66695635
"CBNA_533869",28.75486429
"CBNA_533876",30.84738413
"CBNA_533877",30.91547222
"CBNA_533879",32.70337619
"CBNA_533880",30.90513413
"CBNA_533881",28.67919524
"CBNA_533882",30.13494048
"CBNA_533884",29.8271246
"CBNA_533886",27.73516111
"CBNA_533888",31.04453968
"CBNA_533889",31.72585873
"CBNA_533890",30.33646984
"CBNA_533892",32.28796984
"CBNA_533893",31.00973095
"CBNA_533897",29.51202381
"CBNA_535605",31.40419762
"CBNA_535606",32.07565714
"CBNA_535607",28.49969603
"CBNA_535608",32.77159048
"CBNA_535609",30.66671429
"CBNA_535610",29.59563571
"CBNA_535611",29.09758492
"CBNA_535612",29.53364048
